project_id,category,required_skills,complexity,duration_weeks,budget,required_experience_years,preferred_hourly_rate_range,project_description,status
PJ0337,design,"Graphic Design, Figma",Medium,6,11400.0,8,$29-$48,"Project requiring expertise in Graphic Design, Figma",Open
PJ0338,programming,"PHP, React, Java",Low,6,4000.0,5,$23-$74,"Project requiring expertise in PHP, React, Java",In Progress
PJ0339,marketing,"Email Marketing, SEO, Analytics, Content Marketing, Social Media Marketing",Low,5,7200.0,5,$16-$97,"Project requiring expertise in Email Marketing, SEO, Analytics, Content Marketing, Social Media Marketing",In Progress
PJ0340,writing,"Technical Writing, Blog Writing, Creative Writing, Copywriting",Medium,5,3150.0,4,$17-$87,"Project requiring expertise in Technical Writing, Blog Writing, Creative Writing, Copywriting",Completed
PJ0341,programming,"Django, SQL",High,6,24000.0,2,$24-$74,"Project requiring expertise in Django, SQL",Completed
PJ0342,programming,"Python, JavaScript, PHP, Django",Medium,8,1500.0,4,$16-$91,"Project requiring expertise in Python, JavaScript, PHP, Django",Open
PJ0343,marketing,"SEO, Analytics",High,12,4750.0,3,$17-$85,"Project requiring expertise in SEO, Analytics",Completed
PJ0344,writing,"SEO Writing, Creative Writing, Blog Writing, Technical Writing, Content Writing",Low,12,1200.0,6,$26-$86,"Project requiring expertise in SEO Writing, Creative Writing, Blog Writing, Technical Writing, Content Writing",Completed
PJ0345,marketing,"SEO, PPC, Social Media Marketing",High,5,14250.0,4,$23-$71,"Project requiring expertise in SEO, PPC, Social Media Marketing",Open
PJ0346,design,"Adobe XD, UI Design",Medium,12,13800.0,7,$29-$61,"Project requiring expertise in Adobe XD, UI Design",Open
PJ0347,design,"Logo Design, Photoshop, UX Design, UI Design",Low,12,7000.0,7,$23-$58,"Project requiring expertise in Logo Design, Photoshop, UX Design, UI Design",Open
PJ0348,programming,"SQL, Angular, Django, Swift",Low,3,8900.0,3,$15-$32,"Project requiring expertise in SQL, Angular, Django, Swift",In Progress
PJ0349,marketing,"Analytics, Email Marketing, Digital Marketing, SEO, Social Media Marketing",Low,8,2400.0,1,$22-$65,"Project requiring expertise in Analytics, Email Marketing, Digital Marketing, SEO, Social Media Marketing",Completed
PJ0350,writing,"Copywriting, Content Writing, SEO Writing",Low,9,3700.0,5,$30-$79,"Project requiring expertise in Copywriting, Content Writing, SEO Writing",Completed
PJ0351,writing,"Blog Writing, Creative Writing, Technical Writing",Medium,12,4500.0,7,$23-$85,"Project requiring expertise in Blog Writing, Creative Writing, Technical Writing",Completed
PJ0352,marketing,"Email Marketing, Digital Marketing",Low,9,2200.0,6,$22-$52,"Project requiring expertise in Email Marketing, Digital Marketing",Open
PJ0353,writing,"Creative Writing, Copywriting",Medium,2,6300.0,2,$18-$66,"Project requiring expertise in Creative Writing, Copywriting",In Progress
PJ0354,programming,"C++, Django, Vue.js, PHP, Ruby",Medium,12,4350.0,6,$16-$41,"Project requiring expertise in C++, Django, Vue.js, PHP, Ruby",In Progress
PJ0355,writing,"Content Writing, Blog Writing",Low,11,5200.0,7,$25-$90,"Project requiring expertise in Content Writing, Blog Writing",Open
PJ0356,design,"UX Design, Graphic Design, Photoshop",High,8,5500.0,2,$18-$51,"Project requiring expertise in UX Design, Graphic Design, Photoshop",Completed
PJ0357,design,"UX Design, Logo Design",Low,7,4200.0,3,$26-$76,"Project requiring expertise in UX Design, Logo Design",Completed
PJ0358,marketing,"Email Marketing, SEO, Digital Marketing, Social Media Marketing",Low,12,3900.0,5,$27-$91,"Project requiring expertise in Email Marketing, SEO, Digital Marketing, Social Media Marketing",Completed
PJ0359,programming,"JavaScript, Django, SQL, React, PHP",Medium,12,6750.0,7,$21-$81,"Project requiring expertise in JavaScript, Django, SQL, React, PHP",In Progress
PJ0360,marketing,"Digital Marketing, Analytics, SEO",High,9,21750.0,3,$15-$31,"Project requiring expertise in Digital Marketing, Analytics, SEO",Completed
PJ0361,writing,"Creative Writing, Technical Writing, Blog Writing, Content Writing",Low,1,1700.0,5,$28-$39,"Project requiring expertise in Creative Writing, Technical Writing, Blog Writing, Content Writing",In Progress
PJ0362,programming,"Ruby, JavaScript, Angular, React, Swift",Low,4,500.0,2,$23-$77,"Project requiring expertise in Ruby, JavaScript, Angular, React, Swift",Open
PJ0363,design,"UI Design, Graphic Design, UX Design, Adobe XD, Figma",Low,7,8700.0,4,$28-$40,"Project requiring expertise in UI Design, Graphic Design, UX Design, Adobe XD, Figma",In Progress
PJ0364,programming,"Python, Ruby, PHP",High,8,17750.0,6,$30-$94,"Project requiring expertise in Python, Ruby, PHP",Open
PJ0365,design,"Photoshop, Graphic Design, Adobe XD, UI Design",High,6,3250.0,7,$15-$35,"Project requiring expertise in Photoshop, Graphic Design, Adobe XD, UI Design",Open
PJ0366,writing,"Technical Writing, SEO Writing",Low,11,4600.0,4,$19-$43,"Project requiring expertise in Technical Writing, SEO Writing",Completed
PJ0367,programming,"C++, Python, SQL",Low,8,1300.0,5,$16-$70,"Project requiring expertise in C++, Python, SQL",Open
PJ0368,writing,"Blog Writing, Creative Writing",Medium,7,5700.0,5,$30-$40,"Project requiring expertise in Blog Writing, Creative Writing",Open
PJ0369,marketing,"Email Marketing, Digital Marketing, PPC, Content Marketing, Social Media Marketing",High,2,11250.0,5,$25-$89,"Project requiring expertise in Email Marketing, Digital Marketing, PPC, Content Marketing, Social Media Marketing",Open
PJ0370,design,"UI Design, Adobe XD, Illustrator, Logo Design, Photoshop",Low,12,5100.0,1,$26-$43,"Project requiring expertise in UI Design, Adobe XD, Illustrator, Logo Design, Photoshop",Completed
PJ0371,design,"Figma, Illustrator, UI Design, Graphic Design, UX Design",Low,7,8100.0,8,$16-$47,"Project requiring expertise in Figma, Illustrator, UI Design, Graphic Design, UX Design",In Progress
PJ0372,design,"Figma, Photoshop, UI Design, UX Design",Medium,7,14550.0,6,$23-$61,"Project requiring expertise in Figma, Photoshop, UI Design, UX Design",In Progress
PJ0373,design,"Graphic Design, Illustrator, Photoshop",High,8,16000.0,8,$22-$89,"Project requiring expertise in Graphic Design, Illustrator, Photoshop",Open
PJ0374,design,"UI Design, UX Design, Figma",Low,11,1200.0,5,$24-$79,"Project requiring expertise in UI Design, UX Design, Figma",Open
PJ0375,design,"Logo Design, Graphic Design, Photoshop, Adobe XD",Low,3,3700.0,1,$28-$99,"Project requiring expertise in Logo Design, Graphic Design, Photoshop, Adobe XD",Completed
PJ0376,programming,"Swift, Angular",Medium,7,9000.0,1,$25-$74,"Project requiring expertise in Swift, Angular",Completed
PJ0377,writing,"Technical Writing, Content Writing, Copywriting, SEO Writing",High,7,21250.0,2,$26-$37,"Project requiring expertise in Technical Writing, Content Writing, Copywriting, SEO Writing",Completed
PJ0378,marketing,"Digital Marketing, Analytics",High,3,16250.0,5,$23-$52,"Project requiring expertise in Digital Marketing, Analytics",In Progress
PJ0379,programming,"JavaScript, Java, C++, Swift, PHP",Medium,8,4800.0,8,$30-$78,"Project requiring expertise in JavaScript, Java, C++, Swift, PHP",Open
PJ0380,writing,"Creative Writing, SEO Writing, Technical Writing",Medium,1,4200.0,2,$20-$63,"Project requiring expertise in Creative Writing, SEO Writing, Technical Writing",Completed
PJ0381,programming,"Swift, Java",Medium,8,9300.0,7,$20-$76,"Project requiring expertise in Swift, Java",In Progress
PJ0382,writing,"Copywriting, SEO Writing, Blog Writing",High,5,23000.0,8,$23-$90,"Project requiring expertise in Copywriting, SEO Writing, Blog Writing",Completed
PJ0383,design,"Illustrator, Logo Design, Graphic Design, UX Design, Adobe XD",High,9,8000.0,4,$15-$42,"Project requiring expertise in Illustrator, Logo Design, Graphic Design, UX Design, Adobe XD",In Progress
PJ0384,marketing,"Analytics, Digital Marketing, Email Marketing, Social Media Marketing",Low,10,6300.0,6,$17-$58,"Project requiring expertise in Analytics, Digital Marketing, Email Marketing, Social Media Marketing",Open
PJ0385,writing,"SEO Writing, Content Writing, Blog Writing, Technical Writing, Copywriting",Low,6,5600.0,5,$16-$42,"Project requiring expertise in SEO Writing, Content Writing, Blog Writing, Technical Writing, Copywriting",Completed
PJ0386,marketing,"Social Media Marketing, SEO, Email Marketing, Content Marketing, PPC",Low,6,6900.0,5,$16-$62,"Project requiring expertise in Social Media Marketing, SEO, Email Marketing, Content Marketing, PPC",In Progress
PJ0387,marketing,"Analytics, Social Media Marketing, Email Marketing",Medium,9,7500.0,4,$29-$78,"Project requiring expertise in Analytics, Social Media Marketing, Email Marketing",Completed
PJ0388,design,"Graphic Design, UX Design, Adobe XD",High,8,22500.0,7,$16-$93,"Project requiring expertise in Graphic Design, UX Design, Adobe XD",Open
PJ0389,marketing,"Digital Marketing, Email Marketing, Analytics",Low,1,2100.0,2,$29-$95,"Project requiring expertise in Digital Marketing, Email Marketing, Analytics",Completed
PJ0390,marketing,"Social Media Marketing, Email Marketing",Low,5,9200.0,7,$25-$71,"Project requiring expertise in Social Media Marketing, Email Marketing",Open
PJ0391,writing,"SEO Writing, Creative Writing, Blog Writing, Content Writing",High,11,21000.0,8,$23-$45,"Project requiring expertise in SEO Writing, Creative Writing, Blog Writing, Content Writing",Completed
PJ0392,marketing,"PPC, Content Marketing",High,11,15750.0,5,$21-$82,"Project requiring expertise in PPC, Content Marketing",Completed
PJ0393,writing,"Blog Writing, SEO Writing, Technical Writing, Copywriting, Creative Writing",Medium,3,3300.0,5,$27-$47,"Project requiring expertise in Blog Writing, SEO Writing, Technical Writing, Copywriting, Creative Writing",Open
PJ0394,design,"Photoshop, Graphic Design, Logo Design, Figma",High,4,19750.0,7,$28-$47,"Project requiring expertise in Photoshop, Graphic Design, Logo Design, Figma",Completed
PJ0395,marketing,"Analytics, SEO, Content Marketing, PPC, Digital Marketing",Medium,7,4950.0,5,$19-$62,"Project requiring expertise in Analytics, SEO, Content Marketing, PPC, Digital Marketing",In Progress
PJ0396,writing,"Content Writing, Technical Writing",Low,2,9800.0,4,$15-$86,"Project requiring expertise in Content Writing, Technical Writing",Open
PJ0397,design,"Logo Design, UX Design",High,7,3000.0,3,$16-$86,"Project requiring expertise in Logo Design, UX Design",Completed
PJ0398,marketing,"Analytics, PPC, Content Marketing",Medium,5,2850.0,1,$29-$38,"Project requiring expertise in Analytics, PPC, Content Marketing",Completed
PJ0399,marketing,"Analytics, Social Media Marketing, Content Marketing, Digital Marketing, Email Marketing",Low,11,4000.0,6,$15-$98,"Project requiring expertise in Analytics, Social Media Marketing, Content Marketing, Digital Marketing, Email Marketing",Open
PJ0400,design,"UI Design, Figma",High,4,5750.0,7,$18-$53,"Project requiring expertise in UI Design, Figma",In Progress
PJ0401,design,"UX Design, Graphic Design",Low,7,1600.0,7,$30-$64,"Project requiring expertise in UX Design, Graphic Design",Open
PJ0402,design,"Logo Design, Graphic Design, Illustrator, UI Design, Figma",Low,11,2800.0,4,$16-$31,"Project requiring expertise in Logo Design, Graphic Design, Illustrator, UI Design, Figma",Completed
PJ0403,programming,"Angular, Django",Low,11,4500.0,8,$17-$68,"Project requiring expertise in Angular, Django",Completed
PJ0404,marketing,"Digital Marketing, Analytics, Content Marketing, Email Marketing",High,8,23500.0,1,$19-$74,"Project requiring expertise in Digital Marketing, Analytics, Content Marketing, Email Marketing",Open
PJ0405,programming,"PHP, SQL, React",High,6,12750.0,7,$15-$49,"Project requiring expertise in PHP, SQL, React",Completed
PJ0406,marketing,"Social Media Marketing, Content Marketing, Digital Marketing, Email Marketing, SEO",High,4,7000.0,5,$22-$60,"Project requiring expertise in Social Media Marketing, Content Marketing, Digital Marketing, Email Marketing, SEO",Completed
PJ0407,design,"Illustrator, UX Design",Low,10,2400.0,3,$28-$43,"Project requiring expertise in Illustrator, UX Design",Completed
PJ0408,programming,"Swift, Python, C++, Java, Angular",High,9,16750.0,2,$27-$76,"Project requiring expertise in Swift, Python, C++, Java, Angular",In Progress
PJ0409,design,"UI Design, Logo Design, Graphic Design, Photoshop, Illustrator",Low,12,8700.0,1,$28-$58,"Project requiring expertise in UI Design, Logo Design, Graphic Design, Photoshop, Illustrator",Completed
PJ0410,programming,"Django, SQL, Ruby",Medium,10,14400.0,4,$27-$65,"Project requiring expertise in Django, SQL, Ruby",Open
PJ0411,writing,"Content Writing, SEO Writing, Copywriting, Technical Writing, Blog Writing",High,2,5000.0,8,$29-$95,"Project requiring expertise in Content Writing, SEO Writing, Copywriting, Technical Writing, Blog Writing",Completed
PJ0412,writing,"SEO Writing, Blog Writing",Low,1,3400.0,4,$19-$62,"Project requiring expertise in SEO Writing, Blog Writing",Completed
PJ0413,writing,"Blog Writing, Content Writing, SEO Writing, Creative Writing, Copywriting",High,6,11250.0,5,$16-$59,"Project requiring expertise in Blog Writing, Content Writing, SEO Writing, Creative Writing, Copywriting",Completed
PJ0414,programming,"Swift, Vue.js",High,3,1500.0,7,$30-$97,"Project requiring expertise in Swift, Vue.js",In Progress
PJ0415,writing,"Copywriting, SEO Writing, Creative Writing, Content Writing, Technical Writing",Medium,7,1950.0,1,$17-$46,"Project requiring expertise in Copywriting, SEO Writing, Creative Writing, Content Writing, Technical Writing",Open
PJ0416,marketing,"Digital Marketing, SEO",Medium,4,7350.0,7,$18-$80,"Project requiring expertise in Digital Marketing, SEO",Completed
PJ0417,writing,"Content Writing, Blog Writing",Low,10,5900.0,3,$24-$91,"Project requiring expertise in Content Writing, Blog Writing",In Progress
PJ0418,design,"UI Design, Photoshop",High,8,21750.0,2,$26-$71,"Project requiring expertise in UI Design, Photoshop",Completed
PJ0419,writing,"Technical Writing, SEO Writing, Blog Writing, Content Writing",High,10,7000.0,4,$24-$41,"Project requiring expertise in Technical Writing, SEO Writing, Blog Writing, Content Writing",In Progress
PJ0420,programming,"PHP, SQL, JavaScript, Python",Medium,9,11550.0,2,$21-$78,"Project requiring expertise in PHP, SQL, JavaScript, Python",In Progress
PJ0421,writing,"Content Writing, Copywriting, Blog Writing, SEO Writing",High,8,10750.0,5,$23-$39,"Project requiring expertise in Content Writing, Copywriting, Blog Writing, SEO Writing",Open
PJ0422,marketing,"Digital Marketing, Content Marketing, SEO, Social Media Marketing, Analytics",Medium,6,9000.0,5,$26-$34,"Project requiring expertise in Digital Marketing, Content Marketing, SEO, Social Media Marketing, Analytics",Open
PJ0423,writing,"Copywriting, SEO Writing",Medium,3,1800.0,5,$23-$47,"Project requiring expertise in Copywriting, SEO Writing",Open
PJ0424,marketing,"SEO, Email Marketing, Digital Marketing",High,9,13750.0,2,$17-$100,"Project requiring expertise in SEO, Email Marketing, Digital Marketing",Open
PJ0425,writing,"Content Writing, SEO Writing, Technical Writing, Creative Writing, Blog Writing",Low,10,6100.0,7,$26-$56,"Project requiring expertise in Content Writing, SEO Writing, Technical Writing, Creative Writing, Blog Writing",Completed
PJ0426,design,"Adobe XD, UX Design",High,10,1500.0,4,$22-$97,"Project requiring expertise in Adobe XD, UX Design",In Progress
PJ0427,design,"Adobe XD, Figma, UI Design",Medium,8,6000.0,8,$19-$34,"Project requiring expertise in Adobe XD, Figma, UI Design",In Progress
PJ0428,design,"UI Design, Illustrator, Graphic Design",High,8,19250.0,5,$25-$56,"Project requiring expertise in UI Design, Illustrator, Graphic Design",In Progress
PJ0429,marketing,"Email Marketing, Content Marketing, Analytics, Social Media Marketing",High,7,24250.0,2,$24-$33,"Project requiring expertise in Email Marketing, Content Marketing, Analytics, Social Media Marketing",Completed
PJ0430,marketing,"Content Marketing, Analytics, Social Media Marketing",High,11,13750.0,1,$19-$59,"Project requiring expertise in Content Marketing, Analytics, Social Media Marketing",In Progress
PJ0431,writing,"Blog Writing, SEO Writing",Medium,3,14850.0,6,$29-$86,"Project requiring expertise in Blog Writing, SEO Writing",Completed
PJ0432,writing,"Copywriting, SEO Writing, Creative Writing, Content Writing",Low,1,7200.0,3,$30-$82,"Project requiring expertise in Copywriting, SEO Writing, Creative Writing, Content Writing",Completed
PJ0433,writing,"Copywriting, Content Writing, Creative Writing, Blog Writing, SEO Writing",Low,9,6400.0,1,$29-$59,"Project requiring expertise in Copywriting, Content Writing, Creative Writing, Blog Writing, SEO Writing",Open
PJ0434,writing,"Creative Writing, Technical Writing",Low,2,3000.0,3,$16-$47,"Project requiring expertise in Creative Writing, Technical Writing",Completed
PJ0435,design,"Photoshop, Graphic Design, Adobe XD, UI Design",Low,4,5700.0,3,$23-$49,"Project requiring expertise in Photoshop, Graphic Design, Adobe XD, UI Design",In Progress
PJ0436,writing,"SEO Writing, Copywriting, Technical Writing, Creative Writing, Content Writing",High,7,13500.0,5,$28-$47,"Project requiring expertise in SEO Writing, Copywriting, Technical Writing, Creative Writing, Content Writing",Completed
PJ0437,programming,"Swift, Vue.js",Low,2,7800.0,7,$20-$34,"Project requiring expertise in Swift, Vue.js",Open
PJ0438,design,"Illustrator, UI Design",Medium,8,9900.0,8,$18-$63,"Project requiring expertise in Illustrator, UI Design",Open
PJ0439,programming,"PHP, Python, React",High,4,21250.0,5,$17-$50,"Project requiring expertise in PHP, Python, React",Open
PJ0440,writing,"Blog Writing, Copywriting, SEO Writing, Content Writing",Medium,4,9300.0,1,$24-$37,"Project requiring expertise in Blog Writing, Copywriting, SEO Writing, Content Writing",Open
PJ0441,design,"Illustrator, Figma, UI Design, Graphic Design",Low,1,900.0,7,$24-$44,"Project requiring expertise in Illustrator, Figma, UI Design, Graphic Design",In Progress
PJ0442,programming,"Swift, Node.js, Ruby, Java, SQL",Low,3,8300.0,3,$23-$50,"Project requiring expertise in Swift, Node.js, Ruby, Java, SQL",In Progress
PJ0443,design,"Graphic Design, Illustrator",Low,10,4700.0,7,$19-$57,"Project requiring expertise in Graphic Design, Illustrator",Open
PJ0444,design,"Adobe XD, Figma, Photoshop, UI Design, Illustrator",High,5,21750.0,4,$23-$85,"Project requiring expertise in Adobe XD, Figma, Photoshop, UI Design, Illustrator",Open
PJ0445,writing,"Creative Writing, Content Writing, SEO Writing",Medium,3,6600.0,3,$17-$66,"Project requiring expertise in Creative Writing, Content Writing, SEO Writing",In Progress
PJ0446,design,"UI Design, UX Design, Logo Design, Photoshop, Illustrator",Medium,4,4350.0,1,$17-$36,"Project requiring expertise in UI Design, UX Design, Logo Design, Photoshop, Illustrator",In Progress
PJ0447,writing,"SEO Writing, Copywriting",Low,7,8200.0,8,$18-$91,"Project requiring expertise in SEO Writing, Copywriting",In Progress
PJ0448,writing,"Creative Writing, Copywriting, Technical Writing, Blog Writing",Medium,9,12450.0,2,$30-$47,"Project requiring expertise in Creative Writing, Copywriting, Technical Writing, Blog Writing",Open
PJ0449,design,"Photoshop, Logo Design",High,4,3750.0,3,$21-$41,"Project requiring expertise in Photoshop, Logo Design",Open
PJ0450,programming,"Java, Vue.js, C++, Swift, SQL",Low,4,1100.0,1,$16-$86,"Project requiring expertise in Java, Vue.js, C++, Swift, SQL",In Progress
PJ0451,marketing,"SEO, Social Media Marketing, Analytics, Content Marketing",Medium,3,3150.0,8,$28-$57,"Project requiring expertise in SEO, Social Media Marketing, Analytics, Content Marketing",In Progress
PJ0452,writing,"Copywriting, Blog Writing, Creative Writing, Content Writing",Low,11,3700.0,1,$17-$61,"Project requiring expertise in Copywriting, Blog Writing, Creative Writing, Content Writing",Completed
PJ0453,marketing,"Email Marketing, SEO",Low,5,4200.0,8,$19-$35,"Project requiring expertise in Email Marketing, SEO",Completed
PJ0454,design,"Illustrator, Figma, Adobe XD",Low,11,6400.0,5,$26-$70,"Project requiring expertise in Illustrator, Figma, Adobe XD",Open
PJ0455,marketing,"SEO, PPC",Low,8,800.0,3,$18-$96,"Project requiring expertise in SEO, PPC",In Progress
PJ0456,programming,"C++, React, SQL, JavaScript",Low,11,2500.0,3,$21-$94,"Project requiring expertise in C++, React, SQL, JavaScript",Open
PJ0457,programming,"React, Swift",Low,8,1200.0,5,$19-$95,"Project requiring expertise in React, Swift",In Progress
PJ0458,writing,"Technical Writing, Creative Writing, Blog Writing, Copywriting, Content Writing",Medium,2,2850.0,7,$23-$94,"Project requiring expertise in Technical Writing, Creative Writing, Blog Writing, Copywriting, Content Writing",Open
PJ0459,marketing,"SEO, Social Media Marketing, Email Marketing, PPC, Analytics",Low,1,9900.0,3,$24-$58,"Project requiring expertise in SEO, Social Media Marketing, Email Marketing, PPC, Analytics",In Progress
PJ0460,design,"Illustrator, Photoshop",Low,10,4000.0,7,$28-$78,"Project requiring expertise in Illustrator, Photoshop",In Progress
PJ0461,marketing,"Email Marketing, Content Marketing, SEO, Digital Marketing, PPC",High,4,3500.0,2,$18-$83,"Project requiring expertise in Email Marketing, Content Marketing, SEO, Digital Marketing, PPC",Open
PJ0462,marketing,"SEO, Email Marketing",Low,12,700.0,5,$23-$94,"Project requiring expertise in SEO, Email Marketing",Open
PJ0463,design,"Illustrator, UX Design, UI Design, Adobe XD",Medium,4,3150.0,4,$24-$81,"Project requiring expertise in Illustrator, UX Design, UI Design, Adobe XD",Completed
PJ0464,marketing,"PPC, Analytics",Medium,7,13650.0,6,$16-$78,"Project requiring expertise in PPC, Analytics",Completed
PJ0465,programming,"Ruby, Angular, Swift, React, JavaScript",Low,12,5700.0,5,$25-$70,"Project requiring expertise in Ruby, Angular, Swift, React, JavaScript",Open
PJ0466,writing,"Blog Writing, Technical Writing, Creative Writing, Content Writing",Medium,12,2400.0,2,$17-$92,"Project requiring expertise in Blog Writing, Technical Writing, Creative Writing, Content Writing",In Progress
PJ0467,programming,"Python, JavaScript, Django, Angular",High,5,19000.0,6,$23-$78,"Project requiring expertise in Python, JavaScript, Django, Angular",In Progress
PJ0468,writing,"Copywriting, Technical Writing, Creative Writing, Content Writing, Blog Writing",Low,2,5200.0,6,$16-$65,"Project requiring expertise in Copywriting, Technical Writing, Creative Writing, Content Writing, Blog Writing",Open
PJ0469,writing,"Content Writing, Blog Writing, Copywriting, SEO Writing, Creative Writing",Medium,11,10350.0,2,$19-$99,"Project requiring expertise in Content Writing, Blog Writing, Copywriting, SEO Writing, Creative Writing",In Progress
PJ0470,programming,"React, Python, Vue.js, Swift, Node.js",Low,12,500.0,2,$27-$92,"Project requiring expertise in React, Python, Vue.js, Swift, Node.js",Open
PJ0471,programming,"SQL, Ruby, Django, C++",Low,2,800.0,2,$22-$69,"Project requiring expertise in SQL, Ruby, Django, C++",Completed
PJ0472,programming,"Angular, PHP, SQL",Low,8,3000.0,2,$27-$49,"Project requiring expertise in Angular, PHP, SQL",Completed
PJ0473,programming,"Angular, Django, Node.js, Ruby, Java",Low,3,5100.0,7,$19-$42,"Project requiring expertise in Angular, Django, Node.js, Ruby, Java",Open
PJ0474,design,"Graphic Design, Illustrator",Low,6,2100.0,6,$24-$71,"Project requiring expertise in Graphic Design, Illustrator",Completed
PJ0475,marketing,"Digital Marketing, Content Marketing, Analytics",Low,1,9100.0,4,$22-$44,"Project requiring expertise in Digital Marketing, Content Marketing, Analytics",Completed
PJ0476,design,"UX Design, Logo Design",High,3,11000.0,2,$24-$60,"Project requiring expertise in UX Design, Logo Design",Open
PJ0477,programming,"Ruby, Angular",Low,8,7100.0,2,$24-$42,"Project requiring expertise in Ruby, Angular",Open
PJ0478,programming,"Python, C++, React, SQL",High,6,24500.0,1,$29-$74,"Project requiring expertise in Python, C++, React, SQL",Completed
PJ0479,programming,"React, JavaScript",Low,5,4900.0,5,$16-$98,"Project requiring expertise in React, JavaScript",In Progress
PJ0480,programming,"PHP, React",Medium,6,3750.0,1,$21-$45,"Project requiring expertise in PHP, React",Open
PJ0481,design,"UX Design, Photoshop, Adobe XD",High,1,24500.0,3,$21-$90,"Project requiring expertise in UX Design, Photoshop, Adobe XD",Open
PJ0482,writing,"SEO Writing, Copywriting, Blog Writing",Low,5,8500.0,7,$16-$37,"Project requiring expertise in SEO Writing, Copywriting, Blog Writing",Open
PJ0483,design,"Logo Design, Photoshop, Adobe XD, Illustrator",High,7,11500.0,1,$22-$41,"Project requiring expertise in Logo Design, Photoshop, Adobe XD, Illustrator",In Progress
PJ0484,programming,"Python, PHP, Angular, React, C++",High,4,17250.0,6,$29-$54,"Project requiring expertise in Python, PHP, Angular, React, C++",Completed
PJ0485,design,"Photoshop, Illustrator, UX Design, Logo Design",High,8,24750.0,3,$25-$79,"Project requiring expertise in Photoshop, Illustrator, UX Design, Logo Design",In Progress
PJ0486,programming,"React, PHP",Medium,11,14550.0,2,$28-$83,"Project requiring expertise in React, PHP",Completed
PJ0487,writing,"Creative Writing, Technical Writing, SEO Writing",High,3,8000.0,5,$21-$33,"Project requiring expertise in Creative Writing, Technical Writing, SEO Writing",Completed
PJ0488,writing,"Copywriting, Creative Writing, Content Writing, SEO Writing",Low,9,8600.0,7,$30-$69,"Project requiring expertise in Copywriting, Creative Writing, Content Writing, SEO Writing",In Progress
PJ0489,design,"Figma, Graphic Design, Illustrator, Logo Design, UI Design",Medium,4,12900.0,6,$26-$88,"Project requiring expertise in Figma, Graphic Design, Illustrator, Logo Design, UI Design",Open
PJ0490,programming,"Java, React, Python, Vue.js, SQL",Low,4,2500.0,4,$23-$72,"Project requiring expertise in Java, React, Python, Vue.js, SQL",Open
PJ0491,programming,"C++, JavaScript",Medium,5,14850.0,3,$28-$56,"Project requiring expertise in C++, JavaScript",In Progress
PJ0492,writing,"SEO Writing, Technical Writing",Medium,5,3000.0,1,$15-$98,"Project requiring expertise in SEO Writing, Technical Writing",Open
PJ0493,programming,"SQL, Python, Java",Low,3,6500.0,4,$29-$41,"Project requiring expertise in SQL, Python, Java",Completed
PJ0494,design,"Adobe XD, Illustrator, UI Design",Low,1,8700.0,4,$25-$98,"Project requiring expertise in Adobe XD, Illustrator, UI Design",Open
PJ0495,writing,"Creative Writing, Technical Writing, SEO Writing, Content Writing",High,2,13000.0,2,$18-$68,"Project requiring expertise in Creative Writing, Technical Writing, SEO Writing, Content Writing",Completed
PJ0496,writing,"Blog Writing, Technical Writing, Creative Writing",Low,6,4300.0,4,$24-$78,"Project requiring expertise in Blog Writing, Technical Writing, Creative Writing",In Progress
PJ0497,design,"UX Design, Logo Design, Illustrator, Figma",Medium,12,12150.0,4,$17-$57,"Project requiring expertise in UX Design, Logo Design, Illustrator, Figma",Open
PJ0498,design,"Figma, Photoshop",Medium,5,13200.0,3,$28-$66,"Project requiring expertise in Figma, Photoshop",Open
PJ0499,programming,"Node.js, Java, Ruby, C++, Angular",Medium,12,7200.0,7,$28-$80,"Project requiring expertise in Node.js, Java, Ruby, C++, Angular",Open
PJ0500,marketing,"Email Marketing, Digital Marketing",Low,11,9700.0,2,$30-$48,"Project requiring expertise in Email Marketing, Digital Marketing",Completed
PJ0501,programming,"Python, Vue.js, C++",High,6,22000.0,7,$29-$82,"Project requiring expertise in Python, Vue.js, C++",Completed
PJ0502,programming,"Node.js, SQL, Django, PHP, C++",High,12,6500.0,2,$30-$61,"Project requiring expertise in Node.js, SQL, Django, PHP, C++",In Progress
PJ0503,design,"Graphic Design, UI Design, Logo Design, Figma",Medium,4,10050.0,3,$19-$58,"Project requiring expertise in Graphic Design, UI Design, Logo Design, Figma",In Progress
PJ0504,writing,"Creative Writing, Copywriting, Blog Writing",High,3,12750.0,6,$25-$73,"Project requiring expertise in Creative Writing, Copywriting, Blog Writing",In Progress
PJ0505,marketing,"Content Marketing, Email Marketing, Social Media Marketing",Medium,11,10950.0,7,$17-$50,"Project requiring expertise in Content Marketing, Email Marketing, Social Media Marketing",In Progress
PJ0506,writing,"Creative Writing, Content Writing, Copywriting, Blog Writing, SEO Writing",High,3,15750.0,3,$27-$42,"Project requiring expertise in Creative Writing, Content Writing, Copywriting, Blog Writing, SEO Writing",Completed
PJ0507,programming,"SQL, C++, Ruby, PHP, Vue.js",Low,5,7600.0,1,$15-$95,"Project requiring expertise in SQL, C++, Ruby, PHP, Vue.js",Completed
PJ0508,design,"Photoshop, Logo Design, Graphic Design, Adobe XD",Medium,2,4800.0,1,$27-$53,"Project requiring expertise in Photoshop, Logo Design, Graphic Design, Adobe XD",Open
