Freelancer_ID,Skills,Experience_Level,Years_of_Experience,Description,Projects,Budget_Hourly,Budget_Project,Location
F0326,"Project Management: project management office, project objectives, project management professional; General: project management, agile",Expert,11,"Expert Project Management professional with experience in project management office, project objectives, project management professional.","Either seat seat draw. for Nguyen, Nolan and Parks; Contain teach big. for Cobb-Brown; Building reason question for. for Estrada and Sons; Page grow think civil attack. for Harper, Wilson and Smith; Certainly condition itself light picture perhaps. for Pacheco-Nguyen",48,$2764-$9966,Kolkata
F0327,"Mobile Development: mobile ui designer, android sdk, ionic framework, android app development; General: project management",Expert,7,"Expert Mobile Development professional with experience in mobile ui designer, android sdk, ionic framework, android app development.",Mouth clear down stuff onto. for Moore Group; Remain contain you miss focus. for Holder Group; Kitchen Republican name school. for Wade-Acevedo,55,$4630-$7354,Mumbai
F0328,"Cybersecurity: firewall, security policies & procedures documentation, source code scanning, network security; General: ",Expert,9,"Expert Cybersecurity professional with experience in firewall, security policies & procedures documentation, source code scanning, network security.","Officer idea short free positive difference. for Smith-Williams; Room major fast person then record ever. for Stewart and Sons; Out do society most above. for Robinson, Cook and Ross; Test entire computer brother she. for Neal-Obrien",64,$2394-$7193,Chennai
F0329,"Web Development: node.js, website, html5; General: project management",Expert,11,"Expert Web Development professional with experience in node.js, website, html5.",Role create east language. for Robertson-Harvey,32,$4517-$9507,Kolkata
F0330,"Graphic & Visual Design: digital painting, adobe after effects; General: api, agile",Entry Level,9,"Entry Level Graphic & Visual Design professional with experience in digital painting, adobe after effects.","Southern grow worker throughout. for Rice, Johnson and Taylor; At generation money fine stage medical. for Hill-Curtis",10,$473-$645,Kolkata
F0331,"Writing & Content Creation: blog writing, content planning; General: project management, agile",Entry Level,10,"Entry Level Writing & Content Creation professional with experience in blog writing, content planning.",Pm bring next in defense true yet. for Macias-Woodard,9,$491-$563,Pune
F0332,"Writing & Content Creation: content analysis, academic writing, editorial writing, ebook writing; General: sql, api",Intermediate,5,"Intermediate Writing & Content Creation professional with experience in content analysis, academic writing, editorial writing, ebook writing.",Modern church thousand thus. for George Ltd,20,$848-$2384,Chennai
F0333,"Translation & Languages: english to german translation, english to polish translation; General: api",Entry Level,8,"Entry Level Translation & Languages professional with experience in english to german translation, english to polish translation.","Drive create later try themselves maybe. for Sanford, Sanchez and Smith; Major behind sometimes laugh husband she. for Park Group",11,$164-$573,Pune
F0334,"Writing & Content Creation: content creation, social media content, academic writing, content analysis; General: project management",Entry Level,9,"Entry Level Writing & Content Creation professional with experience in content creation, social media content, academic writing, content analysis.","Bag Republican way figure left. for Blackburn, Anderson and Brown",6,$319-$570,Delhi
F0335,"Education & Training: training presentation, exam preparation, elearning; General: project management, git",Entry Level,3,"Entry Level Education & Training professional with experience in training presentation, exam preparation, elearning.","Stand season year most almost organization run. for Barr-Cooper; Realize hotel section song population determine reality. for Price, Hardy and Anderson",6,$251-$666,Pune
F0336,"Database Management: oracle database, data warehousing; General: git",Entry Level,9,"Entry Level Database Management professional with experience in oracle database, data warehousing.",Degree well hotel beautiful fill. for Eaton-Solis,10,$379-$867,Mumbai
F0337,"Writing & Content Creation: speech writing, article writing; General: project management, sql",Entry Level,5,"Entry Level Writing & Content Creation professional with experience in speech writing, article writing.",Describe court let anything. for Arellano LLC,6,$169-$613,Chennai
F0338,"Marketing & SEO: google analytics, influencer marketing, organic traffic growth, social media marketing; General: agile, git",Expert,9,"Expert Marketing & SEO professional with experience in google analytics, influencer marketing, organic traffic growth, social media marketing.",Performance make seem challenge. for Mcdaniel-Rush; Structure central return eat war relationship. for Watkins and Sons; Wife get amount moment. for Solomon-Martinez; Method new sister suddenly. for Davis Group,46,$2352-$8497,Kolkata
F0339,"Writing & Content Creation: content analysis, storytelling; General: agile",Intermediate,7,"Intermediate Writing & Content Creation professional with experience in content analysis, storytelling.","Agency sometimes difficult rest. for Soto, Salas and Huynh; Blood data peace movie result other. for Garrison Inc",30,$1231-$2384,Delhi
F0340,"Education & Training: program management, training plan, executive coaching, program evaluation; General: ",Entry Level,4,"Entry Level Education & Training professional with experience in program management, training plan, executive coaching, program evaluation.","Official relationship front tough third capital head. for James, Sherman and Holloway; Both should degree member pick star next bar. for Brennan, Savage and Walker",7,$83-$887,Kolkata
F0341,"Marketing & SEO: campaign optimization, search engine optimization; General: git",Expert,12,"Expert Marketing & SEO professional with experience in campaign optimization, search engine optimization.","Character admit its. for Perez, Rivera and Thomas; Could toward response trouble green serve. for Bradley, Mcpherson and Dawson",49,$2416-$6732,Bangalore
F0342,"Project Management: project management office, scrum, lean consulting, scrum master; General: agile",Expert,15,"Expert Project Management professional with experience in project management office, scrum, lean consulting, scrum master.",At suggest option believe. for Hughes-Obrien; Analysis arm capital side save few should. for Bell-Patterson; Eye everything development network. for Garcia-Mcdonald; Record difficult discover college take. for Bradley Group; Side occur detail only. for Oconnor PLC,34,$2109-$6471,Delhi
F0343,"Project Management: digital project management, project portfolio management; General: git",Entry Level,2,"Entry Level Project Management professional with experience in digital project management, project portfolio management.","Traditional artist yeah receive true gun subject state. for Green Inc; Court claim current now. for Cooper, Reid and Fleming",13,$251-$980,Bangalore
F0344,"UI/UX Design: user interface design, adobe xd, user research; General: git",Expert,11,"Expert UI/UX Design professional with experience in user interface design, adobe xd, user research.",Support per race popular always program south effort. for Curtis Ltd,39,$2375-$7241,Pune
F0345,"Mobile Development: android, flutter, android sdk, mobile app design; General: project management, agile",Expert,14,"Expert Mobile Development professional with experience in android, flutter, android sdk, mobile app design.","Watch baby near those edge. for Brooks, Jones and Scott; Across else take item. for Davidson Ltd; Black political usually style. for Lozano Ltd",60,$3125-$5447,Bangalore
F0346,"Project Management: project timelines, milestones, team management, project finance; General: ",Intermediate,5,"Intermediate Project Management professional with experience in project timelines, milestones, team management, project finance.",Mr suffer public. for Santos-Silva; Summer represent prove forget enjoy cost fear them. for Martinez PLC; What store drug down hundred. for Dudley LLC; Appear sound student participant those spend language. for Garner and Sons,29,$1186-$2975,Chennai
F0347,"Data Science: time series analysis, data processing; General: sql",Entry Level,10,"Entry Level Data Science professional with experience in time series analysis, data processing.",Many car must dog forward sure. for Smith Inc,5,$242-$862,Bangalore
F0348,"Web Development: wordpress plugin, javascript, gatsby.js, html; General: agile, api",Intermediate,6,"Intermediate Web Development professional with experience in wordpress plugin, javascript, gatsby.js, html.","Nothing American out kid. for Miller, Nunez and Hernandez; Program nation training will. for Anderson Inc; Administration interesting lay animal often apply. for Hatfield-Avery; Foot arm edge. for Reese, Phillips and Hardy; Part work realize recent. for Bell Ltd",30,$893-$1594,Chennai
F0349,"Marketing & SEO: google optimize, google analytics api, ecommerce marketing, content marketing; General: project management, sql",Intermediate,5,"Intermediate Marketing & SEO professional with experience in google optimize, google analytics api, ecommerce marketing, content marketing.","Something note new. for Burton, Mcmahon and Hernandez; It house during bill. for Jimenez-Baker",23,$692-$1829,Delhi
F0350,"Web Development: laravel, php, flask, wordpress plugin; General: ",Expert,9,"Expert Web Development professional with experience in laravel, php, flask, wordpress plugin.","Trade study anything benefit compare reduce. for Ray LLC; Beyond dog item live hard. for King, Erickson and Mcmahon; Scientist government low under. for Gentry-Suarez; Moment worry person onto heart only discuss. for Day, Mcdonald and Edwards; This process affect. for Klein Group",67,$4899-$6299,Bangalore
F0351,"Data Science: feature extraction, visualization; General: git, project management",Entry Level,10,"Entry Level Data Science professional with experience in feature extraction, visualization.",World hotel fear no Mrs country. for Young Group,7,$323-$565,Kolkata
F0352,"Education & Training: academic research, training plan, career coaching; General: ",Expert,12,"Expert Education & Training professional with experience in academic research, training plan, career coaching.","Pm less cell bar husband consumer. for Ramirez Group; People question art dog name else. for Hamilton, Rowe and Richardson; Leg up according individual room. for Stout-Rivera",52,$3716-$9588,Delhi
F0353,"Business & Consulting: business consulting, business operations, outreach strategy; General: git",Entry Level,3,"Entry Level Business & Consulting professional with experience in business consulting, business operations, outreach strategy.","Worry new and democratic defense. for Brooks, Simon and Miles; Pretty who situation billion just. for Evans, Lee and Gardner",15,$251-$583,Mumbai
F0354,"Web Development: node.js, react, web development plugin; General: sql",Intermediate,8,"Intermediate Web Development professional with experience in node.js, react, web development plugin.",Class really establish later long. for Drake Ltd,23,$1009-$2787,Pune
F0355,"Data Science: big data, data processing; General: ",Expert,3,"Expert Data Science professional with experience in big data, data processing.","Purpose year air relate school factor worker. for Mccormick, Parks and Jensen; Teacher say rather court. for Walters, Bridges and Ramos; Material already hotel set bit. for Pineda and Sons",32,$4585-$8448,Bangalore
F0356,"Data Science: data analytics, data processing, gradient boosting; General: ",Entry Level,1,"Entry Level Data Science professional with experience in data analytics, data processing, gradient boosting.","Low approach event drive table simple law. for Davis, Tate and Williams; Avoid development election tree money head economic hold. for Thompson Group",15,$205-$729,Mumbai
F0357,"UI/UX Design: prototyping, visual communication, user experience strategy, ui/ux prototyping; General: sql, api",Intermediate,10,"Intermediate UI/UX Design professional with experience in prototyping, visual communication, user experience strategy, ui/ux prototyping.","During record sing those through ground own. for Pugh LLC; Even miss challenge idea pretty section. for Kelly-Foley; Sing debate energy office piece represent will through. for Livingston, Williams and Hudson; Left I speech take. for Smith-Forbes; Month hotel camera. for Jones, Rogers and Davis",30,$1392-$2243,Pune
F0358,"DevOps: aws cloudfront, openshift; General: project management, sql",Expert,4,"Expert DevOps professional with experience in aws cloudfront, openshift.","Walk past improve clear. for Fisher, Marshall and Cobb; Fast accept type walk. for Wilson and Sons",73,$4655-$9758,Pune
F0359,"Marketing & SEO: seo keyword research, social media account setup; General: project management, sql",Expert,11,"Expert Marketing & SEO professional with experience in seo keyword research, social media account setup.","Man we culture four style. for Watts, Robles and Rivera; Five pass list national. for Vasquez-Wilcox; Begin force degree. for Smith-Martin",54,$1683-$5156,Kolkata
F0360,"UI/UX Design: user experience strategy, ui/ux prototyping, wireframing; General: project management",Expert,11,"Expert UI/UX Design professional with experience in user experience strategy, ui/ux prototyping, wireframing.",Leg certainly discussion. for Bowen LLC,47,$2701-$7096,Mumbai
F0361,"Translation & Languages: greek to english translation, english to finnish translation, english to french translation, italian to english translation; General: git",Intermediate,9,"Intermediate Translation & Languages professional with experience in greek to english translation, english to finnish translation, english to french translation, italian to english translation.",Well shoulder city money condition office. for Morris Inc,16,$1356-$2331,Mumbai
F0362,"Cybersecurity: security assessment & testing, cyber threat intelligence, network security, personal information protection & electronic documents act; General: sql, agile",Intermediate,8,"Intermediate Cybersecurity professional with experience in security assessment & testing, cyber threat intelligence, network security, personal information protection & electronic documents act.","Nature rather explain professor list our morning. for Haley-Harvey; Animal contain if finish general cut not. for Parsons, Carter and Rodriguez; Task catch purpose conference edge give. for Santos-Michael",24,$736-$2938,Chennai
F0363,"Graphic & Visual Design: illustration, photo editing, image enhancement; General: git",Entry Level,4,"Entry Level Graphic & Visual Design professional with experience in illustration, photo editing, image enhancement.",Science financial poor among interest smile song. for Richardson Inc; Report identify defense development audience building east of. for Davis-Ryan,9,$427-$879,Chennai
F0364,"Education & Training: training materials, program evaluation, career coaching; General: ",Expert,15,"Expert Education & Training professional with experience in training materials, program evaluation, career coaching.","Gas simply technology get. for Fisher-Cervantes; Red challenge mean hot. for Mckenzie-Smith; Understand along strategy around. for Daniels Group; Claim everything treat will them north long deep. for Harper, Trujillo and Castro; Clear individual country data quality learn. for Garcia, Thompson and Rose",71,$2972-$8586,Bangalore
F0365,"Marketing & SEO: linkedin marketing, campaign optimization; General: ",Intermediate,7,"Intermediate Marketing & SEO professional with experience in linkedin marketing, campaign optimization.","Prepare part player. for Wilson-Vargas; Next responsibility despite whether north. for Bailey, Swanson and Taylor; Key million best. for Lane, Rowe and Navarro",20,$1472-$1653,Mumbai
F0366,"Project Management: project management professional, scrum, project management office, digital project management; General: sql",Entry Level,5,"Entry Level Project Management professional with experience in project management professional, scrum, project management office, digital project management.",Not stop month return experience. for Cohen Inc; Couple majority morning dinner market indeed. for Fitzgerald-Santiago,13,$324-$589,Bangalore
F0367,"Education & Training: coaching, education, academic writing; General: project management",Intermediate,7,"Intermediate Education & Training professional with experience in coaching, education, academic writing.","Throughout single may summer place career. for Evans-Yu; Miss raise Mr health they world. for Zimmerman, Salinas and Griffin; Phone newspaper federal trip painting common. for Love, Gallagher and Norman; Early wall around. for Johnson, Villegas and Whitney; Product result significant effect at generation. for Parker Group",27,$1308-$2128,Kolkata
F0368,"Writing & Content Creation: journalism writing, blog content, content development, social media content; General: ",Entry Level,1,"Entry Level Writing & Content Creation professional with experience in journalism writing, blog content, content development, social media content.",Prepare every type will. for Flores-Horton; West sit task second. for Wong-Bates,14,$363-$777,Delhi
F0369,"Cybersecurity: security testing, source code scanning; General: git",Expert,9,"Expert Cybersecurity professional with experience in security testing, source code scanning.","Different suggest subject manager grow forget. for Johnson-Thomas; Poor possible life good. for Choi-Pittman; Between ready end although west product party huge. for Rogers, Davis and Copeland; Hair sing amount fine nothing. for Waller, Porter and Good; At million I bank keep address deep new. for Anderson-Berry",74,$4001-$7620,Mumbai
F0370,"Writing & Content Creation: fiction writing, content development; General: ",Expert,4,"Expert Writing & Content Creation professional with experience in fiction writing, content development.",Add we his teach although. for Mills-Garcia,33,$1660-$5080,Pune
F0371,"DevOps: azure devops server, azure machine learning, azure app service, cloud implementation; General: sql",Expert,3,"Expert DevOps professional with experience in azure devops server, azure machine learning, azure app service, cloud implementation.","Stuff bit and senior TV. for Maddox Inc; Stock number recent figure. for Ryan-Owens; Discuss western guy major politics. for Alexander, Warren and Roman; Listen author open whose much open. for Snyder PLC",44,$4597-$8174,Delhi
F0372,"Project Management: project objectives, change management, project scheduling; General: sql",Entry Level,3,"Entry Level Project Management professional with experience in project objectives, change management, project scheduling.",Save although military always. for Baker-Smith,7,$304-$658,Mumbai
F0373,"Project Management: scrum master, project scheduling; General: project management",Expert,11,"Expert Project Management professional with experience in scrum master, project scheduling.","Improve probably back save range laugh answer. for Mendoza Ltd; Voice word control kitchen war above pass. for Herring, Jones and Johnson; Experience pressure address unit. for Richards Ltd; Sign treat same each. for Johnson-Santana",74,$4063-$8787,Kolkata
F0374,"Business & Consulting: corporate strategy, sales leadership, organizational behavior; General: sql, project management",Intermediate,6,"Intermediate Business & Consulting professional with experience in corporate strategy, sales leadership, organizational behavior.",Increase part account similar woman direction reason. for Mccormick-Tran; Thank feeling different value computer. for Welch and Sons; Small responsibility if sure. for Hale PLC,28,$1423-$2222,Kolkata
F0375,"Cybersecurity: vpn, information security, network security, web application security; General: agile",Entry Level,7,"Entry Level Cybersecurity professional with experience in vpn, information security, network security, web application security.","Eye under source company. for Johnson, Rogers and Herrera",10,$362-$815,Pune
F0376,"Project Management: project objectives, scrum master, digital project management, agile project management; General: ",Intermediate,7,"Intermediate Project Management professional with experience in project objectives, scrum master, digital project management, agile project management.",Responsibility star thousand drive cold. for Martinez-Sexton; Way upon end environment particularly which. for Clark and Sons,29,$982-$1714,Mumbai
F0377,"Education & Training: workshop facilitation, program management; General: git, agile",Intermediate,10,"Intermediate Education & Training professional with experience in workshop facilitation, program management.","Politics why during. for Hill and Sons; Material foot safe nature anyone center. for Carter-Gillespie; Message that next heart. for Strickland, Curtis and Reyes; Even forget have child natural town. for Henry, Young and Gonzales",19,$1185-$1818,Chennai
F0378,"Business & Consulting: sales strategy, sales management, business strategy; General: sql, git",Expert,10,"Expert Business & Consulting professional with experience in sales strategy, sales management, business strategy.","True practice method traditional. for Santana, Brown and Goodwin; Pressure against deep pass defense. for Kennedy-Benton",58,$2257-$8012,Chennai
F0379,"Database Management: oracle database, mariadb; General: api, agile",Intermediate,9,"Intermediate Database Management professional with experience in oracle database, mariadb.","Agent evening entire ok west. for Mitchell, Hensley and Taylor; None fund approach new remain about serious. for Smith-Stephens; Country similar hear speak admit vote protect relationship. for Peters-Mayer",16,$1156-$2408,Pune
F0380,"Business & Consulting: business process modeling, business operations, corporate strategy, brand consulting; General: git",Intermediate,9,"Intermediate Business & Consulting professional with experience in business process modeling, business operations, corporate strategy, brand consulting.","Prove improve as none line community. for White-Padilla; Still stuff color cover make. for Smith, Williams and Henson",22,$1456-$2677,Mumbai
F0381,"Education & Training: teaching spanish, educational technology, academic editing; General: agile, project management",Intermediate,5,"Intermediate Education & Training professional with experience in teaching spanish, educational technology, academic editing.",Yes within study money. for Mason-Mills,28,$596-$2057,Kolkata
F0382,"Mobile Development: ux wireframe, ios, hybrid app development, mobile app testing; General: sql, api",Entry Level,1,"Entry Level Mobile Development professional with experience in ux wireframe, ios, hybrid app development, mobile app testing.","Start center dinner feel accept wife. for Carter, Mendez and Church",13,$83-$778,Delhi
F0383,"Education & Training: executive coaching, bilingual education, teaching, training materials; General: project management",Expert,7,"Expert Education & Training professional with experience in executive coaching, bilingual education, teaching, training materials.","Paper check maybe call smile easy important. for Lee-Walker; Travel too admit two. for Dunn, Becker and Shaw; Although heart executive third she me. for Bond LLC; Develop stop college beyond listen level thousand. for Miles Inc",65,$3900-$8923,Kolkata
F0384,"Cybersecurity: web application security, personal information protection & electronic documents act, cyber threat intelligence; General: git",Intermediate,9,"Intermediate Cybersecurity professional with experience in web application security, personal information protection & electronic documents act, cyber threat intelligence.","Artist outside west discuss quite operation stop. for Black, Smith and Farmer; Relate safe early she find term sea. for Reed-Jenkins; Cup too throughout almost. for Moore Ltd",20,$983-$1950,Mumbai
F0385,"Education & Training: curriculum design, educational technology, teaching spanish, coaching; General: git, agile",Entry Level,9,"Entry Level Education & Training professional with experience in curriculum design, educational technology, teaching spanish, coaching.","Season what situation let matter lay center. for Barrett LLC; Follow security a prove. for Marsh, Williams and Jacobs",14,$417-$889,Kolkata
F0386,"Graphic & Visual Design: visual presentation design, print design; General: project management, git",Expert,6,"Expert Graphic & Visual Design professional with experience in visual presentation design, print design.",Coach training else something now. for Solis PLC; Popular explain during. for Brown-Huff; College pick street for see grow amount. for Parker-Castro,55,$4097-$7062,Mumbai
F0387,"Database Management: data warehousing, database administration, microsoft sql server administration; General: git, agile",Intermediate,4,"Intermediate Database Management professional with experience in data warehousing, database administration, microsoft sql server administration.",As soon find poor middle scene. for Olson and Sons,16,$1141-$2500,Bangalore
F0388,"Database Management: sql server integration services, oracle database; General: ",Intermediate,6,"Intermediate Database Management professional with experience in sql server integration services, oracle database.","Poor spring leader. for Mason-Padilla; Fund section finish century claim with none. for Robinson, Martinez and Hughes; Off lot enter author approach whether or. for Bean Group",22,$833-$2604,Delhi
F0389,"Graphic & Visual Design: adobe indesign, 3d animation; General: ",Expert,4,"Expert Graphic & Visual Design professional with experience in adobe indesign, 3d animation.","White environment rule throughout. for Hill, Bradley and Yates; Day interest everyone hand remember order about. for Hamilton LLC; Sort fact million beyond choice dinner. for Johnson-Martinez; Raise rule commercial young during to. for Lee and Sons; Night prevent sister evidence reflect lawyer. for Wells PLC",38,$3697-$6531,Chennai
F0390,"UI/UX Design: user interface design, ux & ui, visual communication; General: project management, api",Intermediate,4,"Intermediate UI/UX Design professional with experience in user interface design, ux & ui, visual communication.",Apply rock bad natural relate. for Macdonald-Williams,23,$549-$2529,Delhi
F0391,"Education & Training: presentation design, teaching spanish; General: ",Entry Level,6,"Entry Level Education & Training professional with experience in presentation design, teaching spanish.",Claim own own interview public. for Orr PLC,12,$409-$730,Delhi
F0392,"Mobile Development: mobile app redesign, kotlin; General: project management",Intermediate,6,"Intermediate Mobile Development professional with experience in mobile app redesign, kotlin.","Eat measure whether top in wear simple should. for Hatfield-Hicks; Address door finally too. for Owens and Sons; Mind pass election house. for Hunter, Collins and Tran; Strong fear top. for Cooper, Bolton and Johnson; Board coach believe identify information early. for Garrett-Schmidt",21,$1486-$1840,Chennai
F0393,"Web Development: web development, virtual reality; General: agile",Entry Level,7,"Entry Level Web Development professional with experience in web development, virtual reality.","Word local include always save hundred Mrs space. for Greene, Gonzales and Aguilar; Lose choice nation risk oil anything. for Allen-Faulkner",7,$133-$686,Chennai
F0394,"Business & Consulting: price & quote negotiation, organizational plan, organizational structure, business writing; General: agile, sql",Intermediate,5,"Intermediate Business & Consulting professional with experience in price & quote negotiation, organizational plan, organizational structure, business writing.","Employee position order here wonder theory area. for Thomas, Barnett and Watts",25,$1171-$2830,Mumbai
F0395,"Marketing & SEO: facebook pixel setup & optimization, influencer marketing; General: sql, api",Entry Level,2,"Entry Level Marketing & SEO professional with experience in facebook pixel setup & optimization, influencer marketing.",Language hair action safe alone member. for Sellers and Sons,5,$166-$740,Kolkata
F0396,"Cybersecurity: information security consultation, ethical hacking; General: agile",Entry Level,3,"Entry Level Cybersecurity professional with experience in information security consultation, ethical hacking.",Road author painting company money most memory. for Diaz-Galloway; Space responsibility near member history. for Berg-Johnson,14,$319-$869,Mumbai
F0397,"Education & Training: curriculum development, educational technology; General: project management, agile",Intermediate,8,"Intermediate Education & Training professional with experience in curriculum development, educational technology.","Choose green book local your item. for Coffey LLC; Middle project hot nor finally toward attention. for Howard LLC; Wait skill current kind detail heavy. for Washington, Delacruz and Bradshaw; Buy you air about course guy. for Howard, Barnett and Davis; Trip six across happy minute everybody ask. for Carlson Inc",22,$1486-$2826,Delhi
F0398,"Marketing & SEO: google ads, content seo, marketing analytics; General: agile",Expert,7,"Expert Marketing & SEO professional with experience in google ads, content seo, marketing analytics.","Contain western dark yet travel memory tend career. for Lane-Hayes; Many condition base fact. for Castaneda, Ruiz and Osborne; Officer religious research. for Jordan and Sons; World account gun apply information history response. for Holland-Jones",57,$4222-$7070,Delhi
F0399,"Writing & Content Creation: content writing, article writing, content strategy, content audit; General: ",Intermediate,6,"Intermediate Writing & Content Creation professional with experience in content writing, article writing, content strategy, content audit.",Discussion window door rise product happen door. for Wallace-Warner; Theory cut exist camera strategy. for Wall-Brown; Whole writer country section thousand color plant. for Preston-Barnett; Ok she hand development. for Ho PLC,19,$1084-$1978,Delhi
F0400,"Translation & Languages: ukrainian to english translation, polish to english translation, albanian; General: api, agile",Expert,9,"Expert Translation & Languages professional with experience in ukrainian to english translation, polish to english translation, albanian.","Analysis few organization since company simply. for Baker, Taylor and Shah; Break involve organization cold too plan account simply. for Rosario, Price and Gomez; Citizen sing city firm war. for Benjamin, Strickland and Gomez; Easy than learn near. for Kelley PLC; Administration toward factor list court little. for Warner PLC",30,$1959-$7046,Pune
F0401,"Education & Training: curriculum design, research writer; General: sql",Intermediate,8,"Intermediate Education & Training professional with experience in curriculum design, research writer.",Owner analysis structure that data mean difference. for Williams-Morgan; Same war before accept tell full. for Decker-Mason,26,$678-$2241,Mumbai
F0402,"Project Management: agile project management, resource allocation, project management professional; General: ",Expert,13,"Expert Project Management professional with experience in agile project management, resource allocation, project management professional.","Return enough really a minute place front force. for Long, Johnson and James; Hit same else she yourself model. for Miles-Mendez; Admit both from outside. for Mccoy Inc; Treat produce beyond off. for Deleon PLC; Language way common service debate about night. for Duffy LLC",36,$3142-$9150,Pune
F0403,"Graphic & Visual Design: concept artistry, infographic, 3d design; General: api",Intermediate,3,"Intermediate Graphic & Visual Design professional with experience in concept artistry, infographic, 3d design.",Defense least third. for Rowe LLC; Apply pattern would close. for Scott Ltd,21,$990-$1983,Chennai
F0404,"Business & Consulting: business development, business planning & strategy, business innovation, organizational development; General: ",Expert,13,"Expert Business & Consulting professional with experience in business development, business planning & strategy, business innovation, organizational development.",Son finally occur lead offer door. for White LLC; Your of level situation main. for Mcbride Group; Dark eight order area well boy expert. for Casey-Harvey; Eight spend see end night back. for Gilbert-Figueroa; Kind better draw defense together fly away big. for Sullivan-Dudley,55,$3679-$9779,Chennai
F0405,"Marketing & SEO: linkedin marketing, off-page seo, technical seo; General: ",Intermediate,3,"Intermediate Marketing & SEO professional with experience in linkedin marketing, off-page seo, technical seo.","Forward stay defense local scene necessary radio. for Floyd Ltd; Population then weight affect federal because protect news. for Schmidt, Lopez and Gomez; Heavy consider member newspaper people. for Thomas, Phillips and Jackson; Table food product example surface. for Burns, Robinson and George",20,$1077-$2287,Mumbai
F0406,"Business & Consulting: price & quote negotiation, sales management, business services, brand consulting; General: api",Entry Level,2,"Entry Level Business & Consulting professional with experience in price & quote negotiation, sales management, business services, brand consulting.",Relate expert wonder become Republican candidate. for Brooks-Campbell,8,$312-$956,Mumbai
F0407,"Translation & Languages: arabic to english translation, english to finnish translation, english to ukrainian translation; General: sql",Entry Level,3,"Entry Level Translation & Languages professional with experience in arabic to english translation, english to finnish translation, english to ukrainian translation.","Participant research dream defense weight. for Gonzalez, Vargas and Mack; Hope choose character feeling carry so resource. for Gardner-Stewart",11,$454-$766,Bangalore
F0408,"Education & Training: academic research, training presentation, presentation design; General: ",Intermediate,6,"Intermediate Education & Training professional with experience in academic research, training presentation, presentation design.",Near him already member administration. for Jimenez-Gonzalez,29,$1349-$2929,Pune
F0409,"Education & Training: research writer, bilingual education, teaching english, executive coaching; General: git",Expert,8,"Expert Education & Training professional with experience in research writer, bilingual education, teaching english, executive coaching.","Purpose feel wind scene affect player. for Powell-Hendrix; Peace help sing perform. for Peterson, Nguyen and Merritt; Someone expert boy a institution push cell. for White-Gordon; Skill instead figure reflect activity. for Kent LLC; Few heavy try themselves from such town teacher. for Chavez, Norris and Watkins",69,$4371-$8290,Chennai
F0410,"Database Management: microsoft sql server administration, sql programming, database architecture, data warehousing; General: git, sql",Entry Level,8,"Entry Level Database Management professional with experience in microsoft sql server administration, sql programming, database architecture, data warehousing.",Remember lot effort look. for Jimenez-Gardner,15,$351-$729,Mumbai
F0411,"Cybersecurity: information security consultation, web application security, personal information protection & electronic documents act; General: api",Intermediate,8,"Intermediate Cybersecurity professional with experience in information security consultation, web application security, personal information protection & electronic documents act.",Me air successful. for Silva-Campbell,19,$1064-$2460,Kolkata
F0412,"Database Management: microsoft sql server administration, mongodb, oracle database, mysql; General: ",Entry Level,4,"Entry Level Database Management professional with experience in microsoft sql server administration, mongodb, oracle database, mysql.","Deep computer feeling among officer place away. for Burke, Avila and Rose",14,$338-$974,Bangalore
F0413,"Web Development: react, web design, gatsby.js; General: ",Expert,4,"Expert Web Development professional with experience in react, web design, gatsby.js.","Receive now skill list might affect face. for Gomez-Moore; Up born laugh south manager life effect. for Harrington, Franklin and Ramirez",46,$2492-$7404,Chennai
F0414,"Project Management: project planning, project management office; General: project management",Expert,6,"Expert Project Management professional with experience in project planning, project management office.",Figure together significant common. for Grimes LLC; Three power trade join growth letter full. for Clark Inc; Whole hard political pull room. for Romero LLC,68,$4144-$7457,Mumbai
F0415,"Database Management: oracle database administration, mariadb, database management; General: ",Entry Level,2,"Entry Level Database Management professional with experience in oracle database administration, mariadb, database management.",Popular treatment have American finish. for Warren PLC; Top relate against plant big management health. for Deleon-Jackson,6,$493-$876,Bangalore
F0416,"Mobile Development: mobile app development, iphone ui design, ionic framework; General: ",Intermediate,9,"Intermediate Mobile Development professional with experience in mobile app development, iphone ui design, ionic framework.",Million yourself cover despite wear statement have. for Mcclain-Collier; Those rise serious now region one four. for Davis Inc; Play success believe. for Bowers-Ford,28,$1405-$1646,Kolkata
F0417,"DevOps: openshift, cloud implementation, azure cosmos db; General: api",Entry Level,10,"Entry Level DevOps professional with experience in openshift, cloud implementation, azure cosmos db.",Page let arrive trip drop your entire establish. for Smith Inc; Goal fire work scene low name federal. for Brooks LLC,14,$446-$821,Mumbai
F0418,"Mobile Development: mobile ui designer, android, swift, mobile app redesign; General: agile, sql",Entry Level,9,"Entry Level Mobile Development professional with experience in mobile ui designer, android, swift, mobile app redesign.","Nor small sister business attorney thought. for Davis, Hill and Weaver; Black kid music part soldier health quite. for Schwartz-Contreras",10,$488-$983,Delhi
F0419,"DevOps: azure devops server, infrastructure management; General: ",Expert,8,"Expert DevOps professional with experience in azure devops server, infrastructure management.",Near move president various doctor. for Carter-Hill,38,$3341-$5527,Chennai
